DeviceId	UserId	LogDate	Direction	WorkCode	C1
25	KT160	24/10/2013 10:13:03	in	0	in
25	KT106	24/10/2013 10:24:14	in	0	in
25	KT117	24/10/2013 10:30:27	in	0	in
25	KT146	24/10/2013 10:47:03	in	0	in
25	530042	24/10/2013 11:00:45	in	0	in
25	520028	24/10/2013 11:29:50	in	0	in
25	510044	24/10/2013 11:42:13	in	0	in
25	530235	24/10/2013 11:43:55	in	0	in
25	530474	24/10/2013 11:56:53	in	0	in
25	510033	24/10/2013 12:06:47	in	0	in
25	510081	24/10/2013 12:23:00	in	0	in
25	540053	24/10/2013 12:39:14	in	0	in
25	520004	24/10/2013 13:05:51	in	0	in
25	520004	24/10/2013 13:05:52	in	0	in
25	510136	24/10/2013 13:45:42	in	0	in
25	530520	24/10/2013 13:51:40	in	0	in
25	520565	24/10/2013 13:54:47	in	0	in
25	520121	24/10/2013 13:55:55	in	0	in
25	61035	24/10/2013 13:56:42	in	0	in
25	70947	24/10/2013 13:56:50	in	0	in
25	520170	24/10/2013 13:57:01	in	0	in
25	530565	24/10/2013 13:57:20	in	0	in
25	510304	24/10/2013 13:57:49	in	0	in
25	540360	24/10/2013 13:58:05	in	0	in
25	540038	24/10/2013 13:58:34	in	0	in
25	520275	24/10/2013 13:59:05	in	0	in
25	90095	24/10/2013 13:59:26	in	0	in
25	510114	24/10/2013 13:59:33	in	0	in
25	530020	24/10/2013 13:59:39	in	0	in
25	540295	24/10/2013 14:00:08	in	0	in
25	520440	24/10/2013 14:00:17	in	0	in
25	520473	24/10/2013 14:00:25	in	0	in
25	510157	24/10/2013 14:01:32	in	0	in
25	510519	24/10/2013 14:01:46	in	0	in
25	530352	24/10/2013 14:02:23	in	0	in
25	71217	24/10/2013 14:02:38	in	0	in
25	71077	24/10/2013 14:03:45	in	0	in
25	520162	24/10/2013 14:04:01	in	0	in
25	540067	24/10/2013 14:04:08	in	0	in
25	71325	24/10/2013 14:04:26	in	0	in
25	520166	24/10/2013 14:04:36	in	0	in
25	530149	24/10/2013 14:04:41	in	0	in
25	540117	24/10/2013 14:04:47	in	0	in
25	540155	24/10/2013 14:04:54	in	0	in
25	530256	24/10/2013 14:05:00	in	0	in
25	530070	24/10/2013 14:05:28	in	0	in
25	60676	24/10/2013 14:06:14	in	0	in
25	530239	24/10/2013 14:06:20	in	0	in
25	530069	24/10/2013 14:07:31	in	0	in
25	510321	24/10/2013 14:07:44	in	0	in
25	510403	24/10/2013 14:08:04	in	0	in
25	60784	24/10/2013 14:09:31	in	0	in
25	60114	24/10/2013 14:10:17	in	0	in
25	510307	24/10/2013 14:10:25	in	0	in
25	60674	24/10/2013 14:10:45	in	0	in
25	71298	24/10/2013 14:10:50	in	0	in
25	71298	24/10/2013 14:10:54	in	0	in
25	530055	24/10/2013 14:11:04	in	0	in
25	530079	24/10/2013 14:11:31	in	0	in
25	90165	24/10/2013 14:12:00	in	0	in
25	510365	24/10/2013 14:12:52	in	0	in
25	510017	24/10/2013 14:13:18	in	0	in
25	60753	24/10/2013 14:13:25	in	0	in
25	510263	24/10/2013 14:14:21	in	0	in
25	530226	24/10/2013 14:17:22	in	0	in
25	510078	24/10/2013 14:17:37	in	0	in
25	60084	24/10/2013 14:19:29	in	0	in
25	60084	24/10/2013 14:19:31	in	0	in
25	520195	24/10/2013 14:21:56	in	0	in
25	520514	24/10/2013 14:26:04	in	0	in
25	510064	24/10/2013 14:35:05	in	0	in
25	510064	24/10/2013 14:35:25	in	0	in
25	520382	24/10/2013 14:48:27	in	0	in
25	520382	24/10/2013 14:48:28	in	0	in
25	60882	24/10/2013 14:50:16	in	0	in
25	60042	24/10/2013 14:54:32	in	0	in
25	61046	24/10/2013 14:54:38	in	0	in
25	61031	24/10/2013 14:54:45	in	0	in
25	510153	24/10/2013 15:25:36	in	0	in
25	510565	24/10/2013 19:02:53	in	0	in
25	530552	24/10/2013 19:32:54	in	0	in
25	520343	24/10/2013 19:48:40	in	0	in
25	510519	24/10/2013 19:51:27	in	0	in
25	510171	24/10/2013 19:51:43	in	0	in
25	530239	24/10/2013 20:13:40	in	0	in
25	61046	24/10/2013 20:30:26	in	0	in
25	61046	24/10/2013 20:30:27	in	0	in
25	530573	24/10/2013 20:31:01	in	0	in
25	510307	24/10/2013 20:31:37	in	0	in
25	510365	24/10/2013 21:24:07	in	0	in
25	510365	24/10/2013 21:24:08	in	0	in
25	530534	24/10/2013 22:19:13	in	0	in
25	60949	24/10/2013 22:28:42	in	0	in
25	80006	24/10/2013 22:28:49	in	0	in
25	520539	24/10/2013 22:32:13	in	0	in
25	510409	24/10/2013 22:32:19	in	0	in
25	60980	24/10/2013 22:34:06	in	0	in
25	60947	24/10/2013 22:34:13	in	0	in
25	510232	24/10/2013 22:35:03	in	0	in
25	530033	24/10/2013 22:35:14	in	0	in
25	520055	24/10/2013 22:35:43	in	0	in
25	520385	24/10/2013 22:35:51	in	0	in
25	530267	24/10/2013 22:36:52	in	0	in
25	530215	24/10/2013 22:38:27	in	0	in
25	61004	24/10/2013 22:39:23	in	0	in
25	530321	24/10/2013 22:40:04	in	0	in
25	510284	24/10/2013 22:41:27	in	0	in
25	540183	24/10/2013 22:42:08	in	0	in
25	530359	24/10/2013 22:42:14	in	0	in
25	60701	24/10/2013 22:42:30	in	0	in
25	540121	24/10/2013 22:42:34	in	0	in
25	60560	24/10/2013 22:43:03	in	0	in
25	530143	24/10/2013 22:43:08	in	0	in
25	540239	24/10/2013 22:43:16	in	0	in
25	520463	24/10/2013 22:43:21	in	0	in
25	60910	24/10/2013 22:43:29	in	0	in
25	520155	24/10/2013 22:43:47	in	0	in
25	530044	24/10/2013 22:44:50	in	0	in
25	520003	24/10/2013 22:45:30	in	0	in
25	60712	24/10/2013 22:46:06	in	0	in
25	530089	24/10/2013 22:46:13	in	0	in
25	90070	24/10/2013 22:46:23	in	0	in
25	90070	24/10/2013 22:46:24	in	0	in
25	60734	24/10/2013 22:46:32	in	0	in
25	530191	24/10/2013 22:46:38	in	0	in
25	530191	24/10/2013 22:46:39	in	0	in
25	510414	24/10/2013 22:47:43	in	0	in
25	530097	24/10/2013 22:48:49	in	0	in
25	60416	24/10/2013 22:48:55	in	0	in
25	61017	24/10/2013 22:49:24	in	0	in
25	60692	24/10/2013 22:49:33	in	0	in
25	60258	24/10/2013 22:52:14	in	0	in
25	540283	24/10/2013 22:52:21	in	0	in
25	60425	24/10/2013 22:52:29	in	0	in
25	61024	24/10/2013 22:52:40	in	0	in
25	61024	24/10/2013 22:52:41	in	0	in
25	90033	24/10/2013 22:52:51	in	0	in
25	510588	24/10/2013 22:53:04	in	0	in
25	61038	24/10/2013 22:54:00	in	0	in
25	71217	24/10/2013 23:03:00	in	0	in
25	71217	24/10/2013 23:03:03	in	0	in
25	71387	24/10/2013 23:03:10	in	0	in
25	71387	24/10/2013 23:03:12	in	0	in
25	71387	24/10/2013 23:03:15	in	0	in
25	510531	24/10/2013 23:03:30	in	0	in
25	510531	24/10/2013 23:03:32	in	0	in
25	510531	24/10/2013 23:03:37	in	0	in
25	510531	24/10/2013 23:03:38	in	0	in
25	71279	25/10/2013 5:44:01	in	0	in
25	60394	25/10/2013 5:51:05	in	0	in
25	510257	25/10/2013 5:52:35	in	0	in
25	510457	25/10/2013 5:52:42	in	0	in
25	520120	25/10/2013 5:53:40	in	0	in
25	510093	25/10/2013 5:53:50	in	0	in
25	510341	25/10/2013 5:54:23	in	0	in
25	540119	25/10/2013 5:54:46	in	0	in
